"GEOID";"NAME";"Population"
"26163531800";"Census Tract 5318, Wayne County, Michigan";2020
"26163542400";"Census Tract 5424, Wayne County, Michigan";2393
"26163543400";"Census Tract 5434, Wayne County, Michigan";3147
"26163543600";"Census Tract 5436, Wayne County, Michigan";1331
"26163545100";"Census Tract 5451, Wayne County, Michigan";1192
"26163500100";"Census Tract 5001, Wayne County, Michigan";3310
"26163500900";"Census Tract 5009, Wayne County, Michigan";3867
"26163501000";"Census Tract 5010, Wayne County, Michigan";3183
"26163501800";"Census Tract 5018, Wayne County, Michigan";4563
"26163503500";"Census Tract 5035, Wayne County, Michigan";3348
"26163504700";"Census Tract 5047, Wayne County, Michigan";2167
"26163506500";"Census Tract 5065, Wayne County, Michigan";2330
"26163507800";"Census Tract 5078, Wayne County, Michigan";707
"26163542700";"Census Tract 5427, Wayne County, Michigan";1163
"26163541400";"Census Tract 5414, Wayne County, Michigan";2435
"26163542800";"Census Tract 5428, Wayne County, Michigan";2420
"26163543000";"Census Tract 5430, Wayne County, Michigan";2542
"26163544200";"Census Tract 5442, Wayne County, Michigan";2379
"26163545700";"Census Tract 5457, Wayne County, Michigan";2498
"26163546900";"Census Tract 5469, Wayne County, Michigan";1206
"26163536500";"Census Tract 5365, Wayne County, Michigan";2384
"26163537000";"Census Tract 5370, Wayne County, Michigan";3437
"26163537300";"Census Tract 5373, Wayne County, Michigan";2835
"26163537500";"Census Tract 5375, Wayne County, Michigan";2724
"26163538600";"Census Tract 5386, Wayne County, Michigan";5122
"26163538700";"Census Tract 5387, Wayne County, Michigan";3904
"26163538800";"Census Tract 5388, Wayne County, Michigan";1729
"26163512100";"Census Tract 5121, Wayne County, Michigan";3142
"26163512300";"Census Tract 5123, Wayne County, Michigan";1521
"26163535000";"Census Tract 5350, Wayne County, Michigan";2954
"26163525600";"Census Tract 5256, Wayne County, Michigan";2090
"26163526000";"Census Tract 5260, Wayne County, Michigan";2956
"26163533100";"Census Tract 5331, Wayne County, Michigan";1747
"26163517500";"Census Tract 5175, Wayne County, Michigan";2321
"26163518500";"Census Tract 5185, Wayne County, Michigan";1051
"26163523100";"Census Tract 5231, Wayne County, Michigan";1817
"26163504400";"Census Tract 5044, Wayne County, Michigan";1876
"26163530800";"Census Tract 5308, Wayne County, Michigan";2086
"26163524200";"Census Tract 5242, Wayne County, Michigan";5547
"26163526400";"Census Tract 5264, Wayne County, Michigan";1917
"26163530100";"Census Tract 5301, Wayne County, Michigan";2397
"26163500400";"Census Tract 5004, Wayne County, Michigan";1019
"26163504100";"Census Tract 5041, Wayne County, Michigan";1444
"26163500800";"Census Tract 5008, Wayne County, Michigan";2517
"26163501900";"Census Tract 5019, Wayne County, Michigan";3089
"26163502000";"Census Tract 5020, Wayne County, Michigan";2642
"26163504300";"Census Tract 5043, Wayne County, Michigan";2174
"26163505000";"Census Tract 5050, Wayne County, Michigan";1214
"26163506400";"Census Tract 5064, Wayne County, Michigan";2464
