"GEOID";"pop_white0";"pop_black0";"pop_asian0";"pop_other0";"pop_latino0";"p_white0";"p_black0";"p_asian0";"p_latino0";"p_other0"
"26163511900";73;1657;0;25;0;0.0415954415954416;0.944159544159544;0;0;0.0142450142450142
"26163524900";509;243;0;118;701;0.32399745385105;0.154678548695099;0;0.446212603437301;0.07511139401655
"26163525000";460;223;0;9;335;0.447906523855891;0.21713729308666;0;0.326192794547225;0.00876338851022395
"26163523800";737;144;0;68;3173;0.178796700630762;0.0349344978165939;0;0.769771955361475;0.0164968461911693
"26163524000";963;117;0;15;2226;0.289972899728997;0.035230352303523;0;0.670280036133695;0.004516711833785
"26163524100";740;355;0;61;2636;0.195147679324895;0.0936181434599156;0;0.695147679324895;0.0160864978902954
"26163525400";164;1255;4;7;1283;0.060449686693697;0.462587541467011;0.00147438260228529;0.472908219683008;0.00258016955399926
"26163525700";1017;58;0;359;4556;0.169782971619366;0.00968280467445743;0;0.760601001669449;0.0599332220367279
"26163526500";8;1640;0;36;343;0.00394671928959053;0.809077454366058;0;0.169215589541194;0.0177602368031574
"26163530300";13;1974;0;15;40;0.00636630754162586;0.966699314397649;0;0.019588638589618;0.00734573947110676
"26163531700";1;1514;1;0;0;0.000659630606860158;0.99868073878628;0.000659630606860158;0;0
"26163532600";46;1838;122;83;76;0.0212471131639723;0.848960739030023;0.05635103926097;0.0351039260969977;0.038337182448037
"26163532700";36;680;0;0;6;0.0498614958448753;0.941828254847645;0;0.00831024930747922;0
"26163533200";1;1593;0;0;0;0.000627352572145546;0.999372647427854;0;0;0
"26163533700";43;1053;0;0;0;0.0392335766423358;0.960766423357664;0;0;0
"26163521900";1036;1608;51;126;223;0.340341655716163;0.528252299605782;0.016754270696452;0.0732588699080158;0.0413929040735874
"26163516900";40;2550;9;10;0;0.0153315446531238;0.977385971636642;0.00344959754695286;0;0.00383288616328095
"26163521400";494;393;0;31;322;0.398387096774194;0.316935483870968;0;0.259677419354839;0.025
"26163522400";65;934;0;13;0;0.0642292490118577;0.922924901185771;0;0;0.0128458498023715
"26163523200";426;198;0;60;3236;0.108673469387755;0.0505102040816327;0;0.825510204081633;0.0153061224489796
"26163524700";78;3669;0;3;80;0.0203655352480418;0.957963446475196;0;0.02088772845953;0.000783289817232376
"26163525800";277;109;0;1;1197;0.174873737373737;0.0688131313131313;0;0.755681818181818;0.000631313131313131
"26163526200";1239;476;34;83;1563;0.364948453608247;0.14020618556701;0.0100147275405007;0.460382916053019;0.0244477172312224
"26163530500";55;2511;0;93;0;0.0206844678450545;0.944339977435126;0;0;0.0349755547198195
"26163531100";34;898;7;66;56;0.0320452403393025;0.846371347785108;0.00659754948162111;0.0527803958529689;0.0622054665409991
"26163531200";90;2820;0;77;16;0.02997002997003;0.939060939060939;0;0.00532800532800533;0.0256410256410256
"26163531600";43;1491;0;32;27;0.026993094789705;0.935969868173258;0;0.0169491525423729;0.0200878844946642
"26163533300";20;1540;0;76;0;0.0122249388753056;0.941320293398533;0;0;0.0464547677261614
"26163534200";34;3747;0;148;0;0.00865360142529906;0.953677780605752;0;0;0.0376686179689488
"26163535200";96;2381;22;59;52;0.0367816091954023;0.912260536398467;0.00842911877394636;0.0199233716475096;0.0226053639846743
"26163536600";0;2701;19;20;16;0;0.980043541364296;0.00689404934687954;0.0058055152394775;0.00725689404934688
"26163536900";102;3018;0;77;88;0.0310502283105023;0.918721461187215;0;0.0267884322678843;0.0234398782343988
"26163537200";13;856;0;23;4;0.0145089285714286;0.955357142857143;0;0.00446428571428571;0.0256696428571429
"26163539600";106;3152;0;0;24;0.032297379646557;0.960390006093845;0;0.00731261425959781;0
"26163542100";63;3983;0;56;49;0.015177065767285;0.959527824620573;0;0.0118043844856661;0.0134907251264755
"26163539400";55;3343;0;83;10;0.0157547980521341;0.957605270696076;0;0.00286450873675165;0.0237754225150387
"26163540200";34;3345;0;27;0;0.00998238402818555;0.982090428655314;0;0;0.00792718731650029
"26163541100";482;2449;0;72;9;0.160026560424967;0.813081009296149;0;0.00298804780876494;0.0239043824701195
